['6', 'Heat (1995)', 'Action|Crime|Thriller'] 4.72667383324
['2002', 'Lethal Weapon 3 (1992)', 'Action|Comedy|Crime|Drama'] 4.10231451876
['2006', 'Mask of Zorro, The (1998)', 'Action|Adventure|Romance'] 4.40949671586
['2009', 'Soylent Green (1973)', 'Sci-Fi|Thriller'] 4.36690777495
['2013', 'Poseidon Adventure, The (1972)', 'Action|Adventure'] 4.30293435181
['2019', 'Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)', 'Action|Drama'] 5.40845998312
['2023', 'Godfather: Part III, The (1990)', 'Action|Crime|Drama'] 4.19291166929
['2041', 'Condorman (1981)', 'Action|Adventure|Children|Comedy'] 3.51691594622
['2045', 'Far Off Place, A (1993)', 'Adventure|Children|Drama|Romance'] 4.30249588353
['2046', 'Flight of the Navigator (1986)', 'Adventure|Children|Sci-Fi'] 4.31436833943
['2054', 'Honey, I Shrunk the Kids (1989)', 'Adventure|Children|Comedy|Fantasy|Sci-Fi'] 3.78096478305
['2058', 'Negotiator, The (1998)', 'Action|Thriller'] 4.45621075439
['2093', 'Return to Oz (1985)', 'Adventure|Children|Fantasy|Sci-Fi'] 3.69939970434
['2094', 'Rocketeer, The (1991)', 'Action|Adventure|Sci-Fi'] 3.95664608115
['2101', "Squanto: A Warrior's Tale (1994)", 'Adventure|Drama'] 4.38128376231
['2105', 'Tron (1982)', 'Action|Adventure|Fantasy|Sci-Fi'] 4.20362053207
['2115', 'Indiana Jones and the Temple of Doom (1984)', 'Action|Adventure'] 4.52408175107
['2116', 'Lord of the Rings, The (1978)', 'Adventure|Animation|Children|Sci-Fi'] 4.18128376231
['2117', 'Nineteen Eighty-Four (1984)', 'Drama|Sci-Fi'] 4.56737488941
['2126', 'Snake Eyes (1998)', 'Action|Crime|Mystery|Thriller'] 3.59340497443
['2153', 'Avengers, The (1998)', 'Action|Adventure'] 2.84447820676
['2167', 'Blade (1998)', 'Action|Adventure|Horror'] 4.32508269103
['2170', 'Wrongfully Accused (1998)', 'Action|Comedy'] 3.40079595744
['2173', 'Navigator: A Mediaeval Odyssey, The (1988)', 'Adventure|Fantasy|Sci-Fi'] 4.41158679262
['2182', 'Wrong Man, The (1956)', 'Drama|Film-Noir|Thriller'] 4.42958308204
['2193', 'Willow (1988)', 'Action|Adventure|Fantasy'] 4.3442097806
['2194', 'Untouchables, The (1987)', 'Action|Crime|Drama'] 4.855936232
['2196', 'Knock Off (1998)', 'Action'] 3.29239487342
['2202', 'Lifeboat (1944)', 'Drama|Thriller|War'] 4.79161240081
['2232', 'Cube (1997)', 'Sci-Fi|Thriller'] 4.31576158778
['2253', 'Toys (1992)', 'Action|Comedy|Fantasy'] 3.41158679262
['2256', 'Parasite (1982)', 'Horror|Sci-Fi'] 3.22295042898
['2258', 'Master Ninja I (1984)', 'Action'] 3.84795042898
['2260', 'Wisdom (1986)', 'Action|Crime'] 3.64386879633
['2273', 'Rush Hour (1998)', 'Action|Thriller'] 4.41413862675
['2275', 'Six-String Samurai (1998)', 'Action|Adventure|Sci-Fi'] 4.21414761208
['2278', 'Ronin (1998)', 'Action|Crime|Thriller'] 4.37524571434
['2287', 'Them! (1954)', 'Sci-Fi|Thriller|War'] 4.28723614327
['2288', 'Thing, The (1982)', 'Action|Horror|Sci-Fi|Thriller'] 4.63337553019
['2307', 'One Tough Cop (1998)', 'Action|Drama'] 3.47952937635
['2308', 'Detroit 9000 (1973)', 'Action|Crime'] 2.84795042898
['2320', 'Apt Pupil (1998)', 'Drama|Thriller'] 3.95490230064
['2322', 'Soldier (1998)', 'Action|Adventure|Sci-Fi|Thriller|War'] 3.77898491174
['2326', 'Shattered Image (1998)', 'Drama|Thriller'] 3.84795042898
['2334', 'Siege, The (1998)', 'Action|Thriller'] 3.97230276059
['2344', 'Runaway Train (1985)', 'Action|Adventure|Drama|Thriller'] 4.27083600112
['2346', 'Stepford Wives, The (1975)', 'Sci-Fi|Thriller'] 4.15461709565
['2347', 'Pope of Greenwich Village, The (1984)', 'Action'] 4.58479253424
['2353', 'Enemy of the State (1998)', 'Action|Thriller'] 4.53519739254
['2363', 'Godzilla (Gojira) (1954)', 'Action|Sci-Fi'] 4.16688730606
['2364', 'Godzilla (Gojira) (1984)', 'Action|Sci-Fi'] 3.62480993311
['2365', 'King Kong vs. Godzilla (Kingukongu tai Gojira) (1962)', 'Action|Sci-Fi'] 3.62000925251
['2367', 'King Kong (1976)', 'Action|Adventure|Horror'] 3.60523198238
['2368', 'King Kong Lives (1986)', 'Action|Adventure|Horror'] 2.53760560139
['2370', 'Emerald Forest, The (1985)', 'Action|Adventure|Drama'] 4.36203493602
['2373', 'Red Sonja (1985)', 'Action|Adventure'] 3.32943191046
['2376', 'View to a Kill, A (1985)', 'Action'] 4.11564273667
['2377', 'Lifeforce (1985)', 'Horror|Sci-Fi'] 3.79330562024
['2393', 'Star Trek: Insurrection (1998)', 'Action|Sci-Fi'] 4.19615365079
['2402', 'Rambo: First Blood Part II (1985)', 'Action|War'] 3.67338683796
['2403', 'First Blood (1982)', 'Action'] 4.41973884208
['2404', 'Rambo III (1988)', 'Action|War'] 3.19014312001
['2405', 'Jewel of the Nile, The (1985)', 'Action|Adventure|Comedy|Romance'] 4.01139768009
['2406', 'Romancing the Stone (1984)', 'Action|Adventure|Comedy|Romance'] 4.53716975983
['2409', 'Rocky II (1979)', 'Action|Drama'] 4.02547851887
['2410', 'Rocky III (1982)', 'Action|Drama'] 3.72326214968
['2411', 'Rocky IV (1985)', 'Action|Drama'] 3.49328376231
['2412', 'Rocky V (1990)', 'Action|Drama'] 2.95014021
['2414', 'Young Sherlock Holmes (1985)', 'Action|Adventure|Mystery'] 4.23845174824
['2419', 'Extremities (1986)', 'Drama|Thriller'] 4.0508489797
['2421', 'Karate Kid, Part II, The (1986)', 'Action|Adventure|Drama'] 3.52509927594
['2422', 'Karate Kid III, The (1989)', 'Action|Adventure|Drama'] 2.97032805136
['2427', 'Thin Red Line, The (1998)', 'Action|Drama|War'] 4.24645603297
['2428', 'Faculty, The (1998)', 'Horror|Sci-Fi'] 3.62572820676
['2429', 'Mighty Joe Young (1998)', 'Adventure|Children|Drama'] 3.67572820676
['2430', 'Mighty Joe Young (1949)', 'Adventure|Children|Drama'] 3.95906154009
['2438', 'Outside Ozona (1998)', 'Drama|Thriller'] 4.84795042898
['2448', 'Virus (1999)', 'Horror|Sci-Fi'] 3.19715677819
['2450', 'Howard the Duck (1986)', 'Adventure|Children|Sci-Fi'] 2.94702876999
['2454', 'Fly, The (1958)', 'Horror|Sci-Fi'] 4.20628376231
['2455', 'Fly, The (1986)', 'Horror|Sci-Fi'] 4.28866004616
['2456', 'Fly II, The (1989)', 'Horror|Sci-Fi'] 3.16133071067
['2457', 'Running Scared (1986)', 'Action|Comedy'] 4.23018981122
['2468', "Jumpin' Jack Flash (1986)", 'Action|Comedy|Romance|Thriller'] 3.61800390492
['2475', '52 Pick-Up (1986)', 'Action|Mystery|Thriller'] 4.14795042898
['2476', 'Heartbreak Ridge (1986)', 'Action|War'] 4.19461709565
['2479', 'Gloria (1999)', 'Drama|Thriller'] 3.12067770171
['2487', 'Blood, Guts, Bullets and Octane (1998)', 'Action|Comedy'] 3.27652185755
['2488', 'Peeping Tom (1960)', 'Drama|Horror|Thriller'] 4.70677395839
['2490', 'Payback (1999)', 'Action|Thriller'] 4.35377190375
['2523', 'Rollercoaster (1977)', 'Drama|Thriller'] 3.1574742385
['2524', 'Towering Inferno, The (1974)', 'Action|Drama'] 3.86674742146
['2525', 'Alligator (1980)', 'Action|Horror|Sci-Fi'] 3.08324454663
['2527', 'Westworld (1973)', 'Action|Sci-Fi|Thriller|Western'] 4.26933407678
['2528', "Logan's Run (1976)", 'Action|Adventure|Sci-Fi'] 4.31759899128
['2529', 'Planet of the Apes (1968)', 'Action|Sci-Fi'] 4.56051497287
['2530', 'Beneath the Planet of the Apes (1970)', 'Action|Sci-Fi'] 3.79315590843
['2531', 'Battle for the Planet of the Apes (1973)', 'Action|Sci-Fi'] 3.68128376231
['2532', 'Conquest of the Planet of the Apes (1972)', 'Action|Sci-Fi'] 3.69152584797
['2533', 'Escape from the Planet of the Apes (1971)', 'Action|Sci-Fi'] 3.88898714604
['2534', 'Avalanche (1978)', 'Action'] 3.37736219369
['2535', 'Earthquake (1974)', 'Action'] 3.69668992478
['2540', 'Corruptor, The (1999)', 'Action|Crime|Drama|Thriller'] 3.88000171103
['2549', 'Wing Commander (1999)', 'Action|Sci-Fi'] 3.07652185755
['2551', 'Dead Ringers (1988)', 'Drama|Thriller'] 4.13895571999
['2553', 'Village of the Damned (1960)', 'Horror|Sci-Fi|Thriller'] 4.20411481254
['2554', 'Children of the Damned (1963)', 'Horror|Sci-Fi|Thriller'] 4.02442101722
['2568', 'Mod Squad, The (1999)', 'Action|Crime'] 2.95542706449
['2571', 'Matrix, The (1999)', 'Action|Sci-Fi|Thriller'] 5.16378054481
['2582', 'Twin Dragons (Shuang long hui) (1992)', 'Action|Comedy'] 3.95401103504
['2594', 'Open Your Eyes (Abre los ojos) (1997)', 'Drama|Romance|Sci-Fi'] 4.79956333221
['2600', 'eXistenZ (1999)', 'Action|Sci-Fi|Thriller'] 4.10404798996
['2602', 'Mighty Peking Man (Hsing hsing wang) (1977)', 'Adventure|Sci-Fi'] 3.68128376231
['2613', 'Night of the Comet (1984)', 'Action|Horror|Sci-Fi'] 3.94403583823
['2614', 'Chopping Mall (a.k.a. Killbots) (1986)', 'Action|Horror|Sci-Fi'] 2.7797686108
['2615', 'My Science Project (1985)', 'Adventure|Sci-Fi'] 3.85853243956
['2616', 'Dick Tracy (1990)', 'Action|Crime'] 3.53064273667
['2617', 'Mummy, The (1999)', 'Action|Adventure|Horror|Thriller'] 4.16969819462
['2625', 'Black Mask (Hak hap) (1996)', 'Action'] 3.92370800474
['2628', 'Star Wars: Episode I - The Phantom Menace (1999)', 'Action|Adventure|Fantasy|Sci-Fi'] 4.25772820676
['2640', 'Superman (1978)', 'Action|Adventure|Sci-Fi'] 4.38477530623
['2641', 'Superman II (1980)', 'Action|Adventure|Sci-Fi'] 4.01225302945
['2642', 'Superman III (1983)', 'Action|Adventure|Sci-Fi'] 3.18454534092
['2643', 'Superman IV: The Quest for Peace (1987)', 'Action|Adventure|Sci-Fi'] 2.73650464585
['2656', 'Tarantula (1955)', 'Horror|Sci-Fi'] 3.62214397737
['2657', 'Rocky Horror Picture Show, The (1975)', 'Comedy|Horror|Musical|Sci-Fi'] 4.13911020189
['2662', 'War of the Worlds, The (1953)', 'Action|Sci-Fi|War'] 4.70635750863
['2664', 'Invasion of the Body Snatchers (1956)', 'Horror|Sci-Fi'] 4.76037081115
['2668', 'Swamp Thing (1982)', 'Horror|Sci-Fi'] 3.38274896378
['2672', 'Thirteenth Floor, The (1999)', 'Drama|Sci-Fi|Thriller'] 4.037208741
['2676', 'Instinct (1999)', 'Drama|Thriller'] 3.98328877484
['2681', 'Free Enterprise (1998)', 'Comedy|Romance|Sci-Fi'] 4.45260159177
['2688', "General's Daughter, The (1999)", 'Drama|Thriller'] 3.98977387326
['2699', 'Arachnophobia (1990)', 'Action|Comedy|Sci-Fi|Thriller'] 3.85087654456
['2701', 'Wild Wild West (1999)', 'Action|Sci-Fi|Western'] 3.00648701435
['2720', 'Inspector Gadget (1999)', 'Action|Adventure|Children|Comedy'] 3.01417026812
['2722', 'Deep Blue Sea (1999)', 'Action|Sci-Fi|Thriller'] 3.72086012798
['2723', 'Mystery Men (1999)', 'Action|Adventure|Comedy'] 3.85850142546
['2735', 'Golden Child, The (1986)', 'Action|Adventure|Comedy'] 3.74555391482
['2737', 'Assassination (1987)', 'Action'] 3.76099390724
['2741', 'No Mercy (1986)', 'Action|Thriller'] 3.8643438716
['2748', 'Allan Quartermain and the Lost City of Gold (1987)', 'Action|Adventure'] 2.89904531949
['2756', 'Wanted: Dead or Alive (1987)', 'Action'] 4.06670042898
['2763', 'Thomas Crown Affair, The (1999)', 'Action|Thriller'] 4.48982370722
['2764', 'Thomas Crown Affair, The (1968)', 'Crime|Drama|Thriller'] 4.44795042898
['2802', 'Tequila Sunrise (1988)', 'Action|Romance|Thriller'] 3.9361857231
['2807', 'Universal Soldier: The Return (1999)', 'Action|Sci-Fi'] 2.60619218722
['2808', 'Universal Soldier (1992)', 'Action|Sci-Fi'] 3.35995042898
['2812', 'In Too Deep (1999)', 'Action|Thriller'] 4.08708086376
['2815', 'Iron Eagle (1986)', 'Action|War'] 3.44204636994
['2816', 'Iron Eagle II (1988)', 'Action|War'] 2.71281529384
['2817', 'Aces: Iron Eagle III (1992)', 'Action|War'] 2.48795042898
['2818', 'Iron Eagle IV (1995)', 'Action|War'] 2.45139870484
['2821', 'Male and Female (1919)', 'Adventure|Drama'] 3.51461709565
['2823', 'Spiders, The (Die Spinnen, 1. Teil: Der Goldene See) (1919)', 'Action|Drama'] 3.34795042898
['2826', '13th Warrior, The (1999)', 'Action|Horror|Thriller'] 4.00661709565
['2827', "Astronaut's Wife, The (1999)", 'Sci-Fi|Thriller'] 3.29002359971
['2835', 'Chill Factor (1999)', 'Action|Thriller'] 3.38366471469
['2850', 'Public Access (1993)', 'Drama|Thriller'] 3.56223614327
['2851', 'Saturn 3 (1979)', 'Adventure|Sci-Fi|Thriller'] 3.29155945154
['2871', 'Deliverance (1972)', 'Adventure|Thriller'] 4.78896551814
['2872', 'Excalibur (1981)', 'Action|Drama|Fantasy|Romance'] 4.66061889259
['2879', 'Operation Condor (Feiying gaiwak) (1990)', 'Action|Adventure|Comedy'] 4.31136506313
['2880', 'Operation Condor 2 (Longxiong hudi) (1990)', 'Action|Adventure|Comedy'] 4.30628376231
['2881', 'Double Jeopardy (1999)', 'Action|Thriller'] 4.04896824068
['2892', 'New Rose Hotel (1998)', 'Action|Drama'] 3.34795042898
['2893', 'Plunkett & MaCleane (1999)', 'Action|Drama'] 3.72890280993
['2900', 'Monkey Shines (1988)', 'Horror|Sci-Fi'] 3.53118024264
['2901', 'Phantasm (1979)', 'Horror|Sci-Fi'] 4.05098073201
['2905', 'Sanjuro (1962)', 'Action|Adventure'] 5.45664608115
['2912', 'Limey, The (1999)', 'Action|Crime|Drama'] 4.52727532349
['2916', 'Total Recall (1990)', 'Action|Adventure|Sci-Fi|Thriller'] 4.53031515844
['2924', 'Drunken Master (Zui quan) (1979)', 'Action|Comedy'] 4.75772486507
['2939', 'Niagara (1953)', 'Drama|Thriller'] 4.34795042898
['2944', 'Dirty Dozen, The (1967)', 'Action|War'] 4.85219371045
['2948', 'From Russia with Love (1963)', 'Action'] 4.73770399578
['2949', 'Dr. No (1962)', 'Action'] 4.72256343208
['2950', 'Blue Lagoon, The (1980)', 'Adventure|Drama|Romance'] 3.18032037118
['2951', 'Fistful of Dollars, A (1964)', 'Action|Western'] 4.84219227159
['2956', 'Someone to Watch Over Me (1987)', 'Action|Crime|Thriller'] 3.98270220203
['2965', 'Omega Code, The (1999)', 'Action'] 2.87572820676
['2967', 'Bad Seed, The (1956)', 'Drama|Thriller'] 4.59598192504
['2968', 'Time Bandits (1981)', 'Adventure|Fantasy|Sci-Fi'] 4.54200983492
['2970', 'Fitzcarraldo (1982)', 'Adventure|Drama'] 4.80713410245
['2985', 'Robocop (1987)', 'Action|Crime|Sci-Fi'] 4.2995370848
['2986', 'Robocop 2 (1990)', 'Action|Crime|Sci-Fi'] 3.22928917137
['2989', 'For Your Eyes Only (1981)', 'Action'] 4.34912689957
['2990', 'Licence to Kill (1989)', 'Action'] 4.04795042898
['2991', 'Live and Let Die (1973)', 'Action'] 4.44036749059
['2993', 'Thunderball (1965)', 'Action'] 4.55339597353
['3000', 'Princess Mononoke, The (Mononoke Hime) (1997)', 'Action|Adventure|Animation'] 4.99577651594
['3020', 'Falling Down (1993)', 'Action|Drama'] 4.30024050532
['3024', 'Piranha (1978)', 'Horror|Sci-Fi'] 3.19577651594
['3029', 'Nighthawks (1981)', 'Action|Drama'] 4.12163463951
['3058', 'Ape, The (1940)', 'Horror|Sci-Fi'] 3.01461709565
['3062', 'Longest Day, The (1962)', 'Action|Drama|War'] 4.81954133807
['3070', 'Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)', 'Adventure|Comedy|Sci-Fi'] 4.23583913602
['3082', 'World Is Not Enough, The (1999)', 'Action|Thriller'] 4.22730077701
['3104', 'Midnight Run (1988)', 'Action|Adventure|Comedy|Crime'] 4.70415957931
['3107', 'Backdraft (1991)', 'Action|Drama'] 4.28868690769
['3113', 'End of Days (1999)', 'Action|Thriller'] 3.47738305309
['3137', 'Sea Wolves, The (1980)', 'Action|War'] 4.66045042898
['3139', 'Tarzan the Fearless (1933)', 'Action|Adventure'] 4.02442101722
['3147', 'Green Mile, The (1999)', 'Drama|Thriller'] 5.00261491343
['3153', '7th Voyage of Sinbad, The (1958)', 'Action|Adventure|Fantasy'] 4.46422949875
['3156', 'Bicentennial Man (1999)', 'Comedy|Drama|Sci-Fi'] 3.75395565091
['3165', 'Boiling Point (1993)', 'Action|Drama'] 3.47090124865
['3168', 'Easy Rider (1969)', 'Adventure|Drama'] 4.6190844496
['3175', 'Galaxy Quest (1999)', 'Adventure|Comedy|Sci-Fi'] 4.61936246602
['3176', 'Talented Mr. Ripley, The (1999)', 'Drama|Mystery|Thriller'] 4.35133134558
['3184', 'Montana (1998)', 'Action|Comedy|Crime|Drama'] 3.84795042898
['3190', 'Supernova (2000)', 'Adventure|Sci-Fi'] 2.99701875196
['3197', 'Presidio, The (1988)', 'Action'] 4.1507392736
['3208', 'Loaded Weapon 1 (1993)', 'Action|Comedy'] 3.60931406534
['3256', 'Patriot Games (1992)', 'Action|Thriller'] 4.59795042898
['3257', 'Bodyguard, The (1992)', 'Action|Drama|Romance|Thriller'] 3.70737534911
['3265', 'Hard-Boiled (Lashou shentan) (1992)', 'Action|Crime'] 4.98556510788
['3266', "Man Bites Dog (C'est arriv\xe9 pr\xe8s de chez vous) (1992)", 'Action|Comedy|Crime|Drama'] 4.50379458482
['3267', 'Mariachi, El (1992)', 'Action|Thriller'] 4.53532102939
['3268', 'Stop! Or My Mom Will Shoot (1992)', 'Action|Comedy'] 2.63007333401
['3269', 'Forever Young (1992)', 'Adventure|Romance|Sci-Fi'] 4.05130472667
['3274', 'Single White Female (1992)', 'Action'] 3.95525636505
['3275', 'Boondock Saints, The (1999)', 'Action|Comedy'] 4.46751564637
['3283', 'Minnie and Moskowitz (1971)', 'Action'] 4.31461709565
['3285', 'Beach, The (2000)', 'Adventure|Drama'] 3.55007808855
['3293', 'Conceiving Ada (1997)', 'Drama|Sci-Fi'] 4.24795042898
['3300', 'Pitch Black (2000)', 'Action|Sci-Fi'] 4.14868843636
['3310', 'Kid, The (1921)', 'Action'] 4.63827300963
['3314', 'Big Trees, The (1952)', 'Action|Drama'] 4.09795042898
['3316', 'Reindeer Games (2000)', 'Action|Thriller'] 3.61611651895
['3334', 'Key Largo (1948)', 'Crime|Drama|Film-Noir|Thriller'] 4.93037993006
['3340', 'Bride of the Monster (1956)', 'Horror|Sci-Fi'] 3.65076733039
['3366', 'Where Eagles Dare (1969)', 'Action|Adventure|War'] 4.6592711837
['3370', 'Betrayed (1988)', 'Drama|Thriller'] 4.27818298712
['3372', 'Bridge at Remagen, The (1969)', 'Action|War'] 4.40152185755
['3384', 'Taking of Pelham One Two Three, The (1974)', 'Action'] 4.64867506666
['3389', "Let's Get Harry (1986)", 'Action|Adventure'] 3.55847674477
['3401', 'Baby... Secret of the Lost Legend (1985)', 'Adventure|Sci-Fi'] 2.95414511925
['3403', 'Raise the Titanic (1980)', 'Drama|Thriller'] 3.62920042898
['3404', 'Titanic (1953)', 'Action|Drama'] 4.3000052235
['3405', 'Night to Remember, A (1958)', 'Action|Drama'] 4.72295042898
['3406', 'Captain Horatio Hornblower (1951)', 'Action|Adventure|War'] 4.60033138136
['3409', 'Final Destination (2000)', 'Drama|Thriller'] 4.12028158366
['3417', 'Crimson Pirate, The (1952)', 'Adventure|Comedy|Sci-Fi'] 4.43699152487
['3420', '...And Justice for All (1979)', 'Drama|Thriller'] 4.56151826818
['3430', 'Death Wish (1974)', 'Action|Drama'] 4.18885951989
['3431', 'Death Wish II (1982)', 'Action|Drama'] 3.51853866427
['3432', 'Death Wish 3 (1985)', 'Action|Drama'] 3.11183931787
['3433', 'Death Wish 4: The Crackdown (1987)', 'Action|Drama'] 2.99378376231
['3434', 'Death Wish V: The Face of Death (1994)', 'Action|Drama'] 3.11110832372
['3438', 'Teenage Mutant Ninja Turtles (1990)', 'Action|Children|Fantasy'] 3.5258530507
['3439', 'Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991)', 'Action|Children|Fantasy'] 2.97544046882
['3440', 'Teenage Mutant Ninja Turtles III (1993)', 'Action|Children|Fantasy'] 2.76816319494
['3441', 'Red Dawn (1984)', 'Action|War'] 4.12373990266
['3442', 'Band of the Hand (1986)', 'Action'] 3.15564273667
['3443', 'Born American (1986)', 'Action|Drama|Thriller'] 4.64795042898
['3444', 'Bloodsport (1988)', 'Action'] 4.07317565421
['3452', 'Romeo Must Die (2000)', 'Action|Romance'] 3.98994438668
['3461', 'Lord of the Flies (1963)', 'Adventure|Drama|Thriller'] 4.51367280858
['3464', 'Solar Crisis (1993)', 'Sci-Fi|Thriller'] 3.29795042898
['3470', 'Dersu Uzala (1974)', 'Adventure|Drama'] 5.1740373855
['3471', 'Close Encounters of the Third Kind (1977)', 'Drama|Sci-Fi'] 4.86242320637
['3474', 'Retroactive (1997)', 'Sci-Fi|Thriller'] 4.03545042898
['3488', 'Hideous Sun Demon, The (1959)', 'Horror|Sci-Fi'] 2.84795042898
['3503', 'Solaris (Solyaris) (1972)', 'Drama|Sci-Fi'] 4.30249588353
['3510', 'Frequency (2000)', 'Drama|Thriller'] 4.60678112326
['3513', 'Rules of Engagement (2000)', 'Drama|Thriller'] 4.1955694766
['3518', 'End of Violence, The (1997)', 'Drama|Thriller'] 3.71832079935
['3519', 'Force 10 from Navarone (1978)', 'Action|War'] 4.19468409732
['3523', 'Taffin (1988)', 'Action|Thriller'] 3.97295042898
['3546', 'What Ever Happened to Baby Jane? (1962)', 'Drama|Thriller'] 4.56992352315
['3553', 'Gossip (2000)', 'Drama|Thriller'] 3.61624311191
['3555', 'U-571 (2000)', 'Action|Thriller'] 4.38759800607
['3563', 'Crow: Salvation, The (2000)', 'Action|Horror'] 2.77102735206
['3572', 'Carnosaur (1993)', 'Horror|Sci-Fi'] 2.57522315625
['3573', 'Carnosaur 2 (1995)', 'Horror|Sci-Fi'] 2.30948889052
['3574', 'Carnosaur 3: Primal Species (1996)', 'Horror|Sci-Fi'] 1.90677395839
['3576', 'Hidden, The (1987)', 'Action|Horror|Sci-Fi'] 4.53104902053
['3578', 'Gladiator (2000)', 'Action|Drama'] 4.95397953501
['3584', 'Breathless (1983)', 'Action|Drama|Romance|Thriller'] 3.61539228945
['3593', 'Battlefield Earth (2000)', 'Action|Sci-Fi'] 2.45906154009
['3623', 'Mission: Impossible 2 (2000)', 'Action|Thriller'] 4.04368538709
['3624', 'Shanghai Noon (2000)', 'Action'] 4.50281768562
['3628', 'Flying Tigers (1942)', 'Action|Drama|War'] 4.26379201314
['3633', "On Her Majesty's Secret Service (1969)", 'Action'] 4.30970680292
['3635', 'Spy Who Loved Me, The (1977)', 'Action'] 4.45369991563
['3638', 'Moonraker (1979)', 'Action|Romance|Sci-Fi'] 4.03966822039
['3639', 'Man with the Golden Gun, The (1974)', 'Action'] 4.4770176741
['3643', 'Fighting Seabees, The (1944)', 'Action|Drama|War'] 4.28359399334
['3648', 'Abominable Snowman, The (1957)', 'Horror|Sci-Fi'] 3.51461709565
['3654', 'Guns of Navarone, The (1961)', 'Action|Drama|War'] 4.81209385527
['3659', 'Quatermass II (1957)', 'Sci-Fi|Thriller'] 4.05847674477
['3660', 'Puppet Master (1989)', 'Horror|Sci-Fi|Thriller'] 3.70782304044
['3661', 'Puppet Master II (1990)', 'Horror|Sci-Fi|Thriller'] 3.05526750215
['3662', "Puppet Master III: Toulon's Revenge (1991)", 'Horror|Sci-Fi|Thriller'] 2.94577651594
['3663', 'Puppet Master 4 (1993)', 'Horror|Sci-Fi|Thriller'] 2.7100193945
['3664', 'Puppet Master 5: The Final Chapter (1994)', 'Horror|Sci-Fi|Thriller'] 2.53313561417
['3665', 'Curse of the Puppet Master (1998)', 'Horror|Sci-Fi|Thriller'] 2.57871965975
['3666', 'Retro Puppetmaster (1999)', 'Horror|Sci-Fi|Thriller'] 2.51461709565
['3667', 'Rent-A-Cop (1988)', 'Action|Comedy'] 2.76223614327
['3696', 'Night of the Creeps (1986)', 'Comedy|Horror|Sci-Fi'] 3.40179658283
['3697', 'Predator 2 (1990)', 'Action|Sci-Fi|Thriller'] 3.71575758295
['3698', 'Running Man, The (1987)', 'Action|Adventure|Sci-Fi'] 4.04658056597
['3699', 'Starman (1984)', 'Adventure|Drama|Romance|Sci-Fi'] 4.30922210528
['3700', 'Brother from Another Planet, The (1984)', 'Drama|Sci-Fi'] 4.43331628264
['3701', 'Alien Nation (1988)', 'Crime|Drama|Sci-Fi'] 4.07215677819
['3703', 'Mad Max 2 (a.k.a. The Road Warrior) (1981)', 'Action|Sci-Fi'] 4.52203166689
['3704', 'Mad Max Beyond Thunderdome (1985)', 'Action|Sci-Fi'] 4.01415541513
['3705', 'Bird on a Wire (1990)', 'Action|Adventure|Romance|Thriller'] 3.4321609553
['3710', 'Action Jackson (1988)', 'Action|Comedy'] 3.10200448303
['3716', 'Fatal Beauty (1987)', 'Action|Crime'] 3.22108475734
['3717', 'Gone in 60 Seconds (2000)', 'Action|Crime'] 3.82226549747
['3726', 'Assault on Precinct 13 (1976)', 'Action|Thriller'] 4.41937900041
['3729', 'Shaft (1971)', 'Action|Crime'] 4.26236484339
['3731', "Cutter's Way (1981)", 'Drama|Thriller'] 4.24329926619
['3740', 'Big Trouble in Little China (1986)', 'Action|Comedy'] 4.26233399062
['3744', 'Shaft (2000)', 'Action|Crime'] 4.09023071402
['3745', 'Titan A.E. (2000)', 'Adventure|Animation|Sci-Fi'] 4.22925884019
['3753', 'Patriot, The (2000)', 'Action|Drama|War'] 4.5931117193
['3755', 'Perfect Storm, The (2000)', 'Action|Adventure|Thriller'] 4.19938182089
['3758', 'Communion (1989)', 'Drama|Sci-Fi|Thriller'] 3.60628376231
['3763', 'F/X (1986)', 'Action|Crime|Thriller'] 4.4185638384
['3764', 'F/X 2 (1992)', 'Action|Crime|Thriller'] 3.48876675551
['3766', 'Missing in Action (1984)', 'Action|War'] 3.38721744469
['3767', 'Missing in Action 2: The Beginning (1985)', 'Action|War'] 2.93448889052
['3768', 'Braddock: Missing in Action III (1988)', 'Action|War'] 3.00844425614
['3769', 'Thunderbolt and Lightfoot (1974)', 'Action'] 4.2321609553
['3770', 'Dreamscape (1984)', 'Adventure|Crime|Sci-Fi|Thriller'] 4.31836463016
['3771', 'Golden Voyage of Sinbad, The (1974)', 'Action|Adventure'] 4.24530142236
['3781', 'Shaft in Africa (1973)', 'Action|Crime'] 3.43415732553
['3782', "Shaft's Big Score! (1972)", 'Action|Crime'] 3.57522315625
['3793', 'X-Men (2000)', 'Action|Sci-Fi'] 4.66859900608
['3802', 'Freejack (1992)', 'Action|Sci-Fi'] 3.26571358687
['3805', 'Knightriders (1981)', 'Action|Adventure|Drama'] 3.64206807604
['3807', 'Sinbad and the Eye of the Tiger (1977)', 'Action|Adventure'] 4.12153533464
['3810', 'White Sands (1992)', 'Drama|Thriller'] 3.98048054946
['3826', 'Hollow Man (2000)', 'Horror|Sci-Fi|Thriller'] 3.38622203392
['3827', 'Space Cowboys (2000)', 'Action|Sci-Fi'] 4.23079561726
